id,title,description,organization,duration
1735579572890,Co-Director of Consulting,"Educating younger students in the field of consulting, while expanding the club's pro-bono consulting services.",McGill Social Business Network Consulting,May 2023 - May 2024
1735579608500,Project Manager,Led a team of 4 consultants on a strategy project for a local Fintech non-profit organization in Montreal.,MSBN Consulting,Aug 2022 - May 2023
1735579634814,Consultant,Worked on a 6-month project to deliver solutions for a global NPO specializing in study abroad programs.,MSBN Consulting,Sep 2021 - Aug 2022
